vtuber_id,name,name_en,platform,channel_id,channel_url,channel_name,followers,debut_date,affiliation,last_live_at,last_live_title,twitter_id,community_link,source,collected_at
AAGQhFvuSmaX9GPs2tpf,연 홍차,,youtube,UCapUqAVV7EX73X_WA_M9RfQ,https://www.youtube.com/channel/UCapUqAVV7EX73X_WA_M9RfQ,연홍차,6320,2026-02-04,,2026-06-09 16:03:02,너무나도 푹 잔 사람,yeonhongcha,https://discord.com/invite/eSxDGu7xBa,mysmallvtuber.net,2026-06-09T07:19:45Z
AAGQhFvuSmaX9GPs2tpf,연 홍차,,youtube,UCe7Af13ohRnUm0N7ocLWNcA,https://www.youtube.com/channel/UCe7Af13ohRnUm0N7ocLWNcA,연홍차 다시보기,762,2026-02-04,,2026-06-09 16:03:02,너무나도 푹 잔 사람,yeonhongcha,https://discord.com/invite/eSxDGu7xBa,mysmallvtuber.net,2026-06-09T07:19:45Z
AAGQhFvuSmaX9GPs2tpf,연 홍차,,chzzk,1bba9dea7f936bdcfe06962bcf0d686a,https://chzzk.naver.com/1bba9dea7f936bdcfe06962bcf0d686a,연 홍차,3333,2026-02-04,,2026-06-09 16:03:02,너무나도 푹 잔 사람,yeonhongcha,https://discord.com/invite/eSxDGu7xBa,mysmallvtuber.net,2026-06-09T07:19:45Z
bRLBcmQGfCRwSTTWysLT,므엥이,,youtube,UC7lbDCeOCeYC11Rt5B-ZNyQ,https://www.youtube.com/channel/UC7lbDCeOCeYC11Rt5B-ZNyQ,므엥이,31300,2023-05-23,,2026-06-09 16:07:02,느엥 🎃,mueeng030,https://cafe.naver.com/choiowo,mysmallvtuber.net,2026-06-09T07:19:45Z
bRLBcmQGfCRwSTTWysLT,므엥이,,youtube,UCSCQonGPUfHjTi6GtjWHvPg,https://www.youtube.com/channel/UCSCQonGPUfHjTi6GtjWHvPg,므엥이 다시봐요,1220,2023-05-23,,2026-06-09 16:07:02,느엥 🎃,mueeng030,https://cafe.naver.com/choiowo,mysmallvtuber.net,2026-06-09T07:19:45Z
bRLBcmQGfCRwSTTWysLT,므엥이,,chzzk,b5b18dc043cbf37ee67e4615687b8f77,https://chzzk.naver.com/b5b18dc043cbf37ee67e4615687b8f77,므엥이,9066,2023-05-23,,2026-06-09 16:07:02,느엥 🎃,mueeng030,https://cafe.naver.com/choiowo,mysmallvtuber.net,2026-06-09T07:19:45Z
FksywLpu4QjPrmvgbRbd,샤메이,,youtube,UCjqii_QCCgL4znyTpfcnkkA,https://www.youtube.com/channel/UCjqii_QCCgL4znyTpfcnkkA,샤메이 Syamei,10600,2022-08-16,,2026-06-09 16:08:02,2026 월드컵 알아보기,syameionline,,mysmallvtuber.net,2026-06-09T07:19:45Z
FksywLpu4QjPrmvgbRbd,샤메이,,youtube,UCrlSawJA3yapykwkIY4qacQ,https://www.youtube.com/channel/UCrlSawJA3yapykwkIY4qacQ,샤메이 다시보기 Syamei Archive,1740,2022-08-16,,2026-06-09 16:08:02,2026 월드컵 알아보기,syameionline,,mysmallvtuber.net,2026-06-09T07:19:45Z
FksywLpu4QjPrmvgbRbd,샤메이,,chzzk,6d16804cf98da47ba82bd13c0c029723,https://chzzk.naver.com/6d16804cf98da47ba82bd13c0c029723,샤메이,26673,2022-08-16,,2026-06-09 16:08:02,2026 월드컵 알아보기,syameionline,,mysmallvtuber.net,2026-06-09T07:19:45Z
3cWFQxb3cn8cdXJaUT2D,야토 Yato,Yato,youtube,UChaT4DUnWxSsym-devGo6wQ,https://www.youtube.com/channel/UChaT4DUnWxSsym-devGo6wQ,야토 YATOㆍlistella,23500,2023-06-03,,2026-06-09 16:10:03,므에엥 이따가 포켓로그 대결해용( ˙꒳˙  )ིྀ,yatoisyato,https://cafe.naver.com/listellaofficial,mysmallvtuber.net,2026-06-09T07:19:45Z
3cWFQxb3cn8cdXJaUT2D,야토 Yato,Yato,youtube,UCNqy24P5r161KSDllGkDhcA,https://www.youtube.com/channel/UCNqy24P5r161KSDllGkDhcA,야토 다시보기,2550,2023-06-03,,2026-06-09 16:10:03,므에엥 이따가 포켓로그 대결해용( ˙꒳˙  )ིྀ,yatoisyato,https://cafe.naver.com/listellaofficial,mysmallvtuber.net,2026-06-09T07:19:45Z
3cWFQxb3cn8cdXJaUT2D,야토 Yato,Yato,chzzk,e87999abca4fd0c3214e05ef414ce951,https://chzzk.naver.com/e87999abca4fd0c3214e05ef414ce951,야토 Yato,18823,2023-06-03,,2026-06-09 16:10:03,므에엥 이따가 포켓로그 대결해용( ˙꒳˙  )ིྀ,yatoisyato,https://cafe.naver.com/listellaofficial,mysmallvtuber.net,2026-06-09T07:19:45Z
QCNfdSWUb8BbxhANfSu8,밤새나,,youtube,UC6MqNwFPHEd7YYOBILZbWQQ,https://www.youtube.com/channel/UC6MqNwFPHEd7YYOBILZbWQQ,밤새나 BAMSAENA,1980,2022-03-09,,2026-06-09 16:12:03,생존신고 [BIP],bamsaena,,mysmallvtuber.net,2026-06-09T07:19:45Z
QCNfdSWUb8BbxhANfSu8,밤새나,,youtube,UCzSfVbOe92XdXaZkVzSsqgg,https://www.youtube.com/channel/UCzSfVbOe92XdXaZkVzSsqgg,밤새나 다시보기,1080,2022-03-09,,2026-06-09 16:12:03,생존신고 [BIP],bamsaena,,mysmallvtuber.net,2026-06-09T07:19:45Z
QCNfdSWUb8BbxhANfSu8,밤새나,,soop,bamsaena,https://ch.sooplive.co.kr/bamsaena,밤새나,2108,2022-03-09,,2026-06-09 16:12:03,생존신고 [BIP],bamsaena,,mysmallvtuber.net,2026-06-09T07:19:45Z
RczkcEEyAnHXJ4rgyct4,민루잼,,youtube,UCqbFwwZnzgxQHHLJBaQ5Z3w,https://www.youtube.com/channel/UCqbFwwZnzgxQHHLJBaQ5Z3w,민루잼,1010,,,2026-06-09 16:11:02,야rrrrrrrrr,,,mysmallvtuber.net,2026-06-09T07:19:45Z
RczkcEEyAnHXJ4rgyct4,민루잼,,youtube,UCS0n4fwKLlhXDK4kBNsgoiQ,https://www.youtube.com/channel/UCS0n4fwKLlhXDK4kBNsgoiQ,루잼 다시보기,508,,,2026-06-09 16:11:02,야rrrrrrrrr,,,mysmallvtuber.net,2026-06-09T07:19:45Z
